Date,IssuesReported,IssuesResolved,ResolutionRate,UrgencyRate,AvgResponseTime,DayOfWeek,Month,Season,IsWeekend,IsHoliday
2025-01-30,78,57,73.07692307692307,6.41025641025641,0.5384615384615384,Thursday,1,Winter,False,False
2025-01-31,62,44,70.96774193548387,17.741935483870968,0.24193548387096775,Friday,1,Winter,False,False
2025-02-01,65,34,52.307692307692314,18.461538461538463,0.47692307692307695,Saturday,2,Winter,True,False
2025-02-02,56,42,75.0,12.5,0.14285714285714285,Sunday,2,Winter,True,False
2025-02-03,71,44,61.97183098591549,8.450704225352112,0.36619718309859156,Monday,2,Winter,False,False
2025-02-04,74,60,81.08108108108108,8.108108108108109,0.47297297297297297,Tuesday,2,Winter,False,False
2025-02-05,63,42,66.66666666666666,3.1746031746031744,0.4603174603174603,Wednesday,2,Winter,False,False
2025-02-06,82,51,62.19512195121951,7.317073170731707,0.5487804878048781,Thursday,2,Winter,False,False
2025-02-07,51,28,54.90196078431373,5.88235294117647,0.49019607843137253,Friday,2,Winter,False,False
2025-02-08,30,19,63.33333333333333,10.0,0.6,Saturday,2,Winter,True,False
2025-02-09,85,61,71.76470588235294,8.235294117647058,0.3764705882352941,Sunday,2,Winter,True,False
2025-02-10,53,35,66.0377358490566,13.20754716981132,0.24528301886792453,Monday,2,Winter,False,False
2025-02-11,46,35,76.08695652173914,10.869565217391305,0.2608695652173913,Tuesday,2,Winter,False,False
2025-02-12,49,30,61.224489795918366,6.122448979591836,0.4897959183673469,Wednesday,2,Winter,False,False
2025-02-13,73,50,68.4931506849315,5.47945205479452,0.4657534246575342,Thursday,2,Winter,False,False
2025-02-14,61,37,60.65573770491803,8.19672131147541,0.18032786885245902,Friday,2,Winter,False,False
2025-02-15,71,48,67.6056338028169,12.676056338028168,0.4647887323943662,Saturday,2,Winter,True,False
2025-02-16,55,36,65.45454545454545,1.8181818181818181,0.34545454545454546,Sunday,2,Winter,True,False
2025-02-17,71,48,67.6056338028169,4.225352112676056,0.16901408450704225,Monday,2,Winter,False,False
2025-02-18,97,58,59.79381443298969,12.371134020618557,0.2268041237113402,Tuesday,2,Winter,False,False
2025-02-19,27,14,51.85185185185185,7.4074074074074066,0.25925925925925924,Wednesday,2,Winter,False,False
2025-02-20,76,52,68.42105263157895,5.263157894736842,0.32894736842105265,Thursday,2,Winter,False,False
2025-02-21,42,26,61.904761904761905,9.523809523809524,0.6428571428571429,Friday,2,Winter,False,False
2025-02-22,60,35,58.333333333333336,8.333333333333332,0.4666666666666667,Saturday,2,Winter,True,False
2025-02-23,111,75,67.56756756756756,8.108108108108109,0.27927927927927926,Sunday,2,Winter,True,False
2025-02-24,58,30,51.724137931034484,5.172413793103448,0.7241379310344828,Monday,2,Winter,False,False
2025-02-25,55,42,76.36363636363637,5.454545454545454,0.2,Tuesday,2,Winter,False,False
2025-02-26,43,29,67.44186046511628,2.3255813953488373,0.4418604651162791,Wednesday,2,Winter,False,False
2025-02-27,53,40,75.47169811320755,5.660377358490567,0.2830188679245283,Thursday,2,Winter,False,False
2025-02-28,68,44,64.70588235294117,7.352941176470589,0.25,Friday,2,Winter,False,False
2025-03-01,77,53,68.83116883116884,5.194805194805195,0.6233766233766234,Saturday,3,Spring,True,False
2025-03-02,71,40,56.33802816901409,19.718309859154928,0.43661971830985913,Sunday,3,Spring,True,False
2025-03-03,84,64,76.19047619047619,8.333333333333332,0.35714285714285715,Monday,3,Spring,False,False
2025-03-04,76,46,60.526315789473685,13.157894736842104,0.23684210526315788,Tuesday,3,Spring,False,False
2025-03-05,58,39,67.24137931034483,8.620689655172415,0.20689655172413793,Wednesday,3,Spring,False,False
2025-03-06,48,33,68.75,4.166666666666666,0.3541666666666667,Thursday,3,Spring,False,False
2025-03-07,64,36,56.25,14.0625,0.359375,Friday,3,Spring,False,False
2025-03-08,46,27,58.69565217391305,23.91304347826087,0.2391304347826087,Saturday,3,Spring,True,False
2025-03-09,42,23,54.761904761904766,16.666666666666664,0.5714285714285714,Sunday,3,Spring,True,False
2025-03-10,55,30,54.54545454545454,9.090909090909092,0.5272727272727272,Monday,3,Spring,False,False
2025-03-11,51,31,60.78431372549019,3.9215686274509802,0.19607843137254902,Tuesday,3,Spring,False,False
2025-03-12,52,32,61.53846153846154,3.8461538461538463,0.4423076923076923,Wednesday,3,Spring,False,False
2025-03-13,63,44,69.84126984126983,14.285714285714285,0.4126984126984127,Thursday,3,Spring,False,False
2025-03-14,26,20,76.92307692307693,3.8461538461538463,0.38461538461538464,Friday,3,Spring,False,False
2025-03-15,53,29,54.71698113207547,13.20754716981132,0.37735849056603776,Saturday,3,Spring,True,False
2025-03-16,71,50,70.4225352112676,9.859154929577464,0.38028169014084506,Sunday,3,Spring,True,False
2025-03-17,56,39,69.64285714285714,7.142857142857142,0.39285714285714285,Monday,3,Spring,False,False
2025-03-18,71,47,66.19718309859155,5.633802816901409,0.4647887323943662,Tuesday,3,Spring,False,False
2025-03-19,63,44,69.84126984126983,15.873015873015872,0.4444444444444444,Wednesday,3,Spring,False,False
2025-03-20,101,72,71.28712871287128,18.81188118811881,0.5841584158415841,Thursday,3,Spring,False,False
2025-03-21,85,49,57.647058823529406,16.470588235294116,0.36470588235294116,Friday,3,Spring,False,False
2025-03-22,106,52,49.056603773584904,6.60377358490566,0.44339622641509435,Saturday,3,Spring,True,False
2025-03-23,67,50,74.6268656716418,4.477611940298507,0.3880597014925373,Sunday,3,Spring,True,False
2025-03-24,82,59,71.95121951219512,8.536585365853659,0.2682926829268293,Monday,3,Spring,False,False
2025-03-25,107,76,71.02803738317756,5.607476635514018,0.5887850467289719,Tuesday,3,Spring,False,False
2025-03-26,102,60,58.82352941176471,5.88235294117647,0.5784313725490197,Wednesday,3,Spring,False,False
2025-03-27,56,30,53.57142857142857,17.857142857142858,0.6607142857142857,Thursday,3,Spring,False,False
2025-03-28,60,34,56.666666666666664,6.666666666666667,0.5833333333333334,Friday,3,Spring,False,False
2025-03-29,56,32,57.14285714285714,7.142857142857142,0.32142857142857145,Saturday,3,Spring,True,False
2025-03-30,71,39,54.929577464788736,9.859154929577464,0.3380281690140845,Sunday,3,Spring,True,False
2025-03-31,69,47,68.11594202898551,15.942028985507244,0.3188405797101449,Monday,3,Spring,False,False
2025-04-01,52,34,65.38461538461539,5.769230769230769,0.4807692307692308,Tuesday,4,Spring,False,False
2025-04-02,86,48,55.81395348837209,15.11627906976744,0.36046511627906974,Wednesday,4,Spring,False,False
2025-04-03,44,27,61.36363636363637,15.909090909090908,0.3409090909090909,Thursday,4,Spring,False,False
2025-04-04,64,35,54.6875,15.625,0.40625,Friday,4,Spring,False,False
2025-04-05,35,22,62.857142857142854,20.0,0.34285714285714286,Saturday,4,Spring,True,False
2025-04-06,58,37,63.793103448275865,15.517241379310345,0.2413793103448276,Sunday,4,Spring,True,False
2025-04-07,47,32,68.08510638297872,17.02127659574468,0.19148936170212766,Monday,4,Spring,False,False
2025-04-08,48,32,66.66666666666666,12.5,0.4375,Tuesday,4,Spring,False,False
2025-04-09,40,27,67.5,17.5,0.325,Wednesday,4,Spring,False,False
2025-04-10,57,36,63.1578947368421,8.771929824561402,0.2631578947368421,Thursday,4,Spring,False,False
2025-04-11,64,40,62.5,7.8125,0.328125,Friday,4,Spring,False,False
2025-04-12,95,62,65.26315789473685,8.421052631578947,0.3263157894736842,Saturday,4,Spring,True,False
2025-04-13,93,60,64.51612903225806,4.301075268817205,0.46236559139784944,Sunday,4,Spring,True,False
2025-04-14,59,37,62.71186440677966,13.559322033898304,0.23728813559322035,Monday,4,Spring,False,False
2025-04-15,23,17,73.91304347826086,30.434782608695656,0.391304347826087,Tuesday,4,Spring,False,False
2025-04-16,50,30,60.0,14.000000000000002,0.18,Wednesday,4,Spring,False,False
2025-04-17,46,23,50.0,6.521739130434782,0.32608695652173914,Thursday,4,Spring,False,False
2025-04-18,51,29,56.86274509803921,9.803921568627452,0.37254901960784315,Friday,4,Spring,False,False
2025-04-19,34,22,64.70588235294117,5.88235294117647,0.35294117647058826,Saturday,4,Spring,True,False
2025-04-20,55,40,72.72727272727273,5.454545454545454,0.2,Sunday,4,Spring,True,False
2025-04-21,40,24,60.0,7.5,0.55,Monday,4,Spring,False,False
2025-04-22,36,29,80.55555555555556,5.555555555555555,0.2222222222222222,Tuesday,4,Spring,False,False
2025-04-23,39,28,71.7948717948718,7.6923076923076925,0.41025641025641024,Wednesday,4,Spring,False,False
2025-04-24,54,37,68.51851851851852,7.4074074074074066,0.14814814814814814,Thursday,4,Spring,False,False
2025-04-25,57,37,64.91228070175438,12.280701754385964,0.3684210526315789,Friday,4,Spring,False,False
2025-04-26,85,59,69.41176470588235,1.1764705882352942,0.24705882352941178,Saturday,4,Spring,True,False
2025-04-27,77,56,72.72727272727273,3.896103896103896,0.24675324675324675,Sunday,4,Spring,True,False
2025-04-28,43,27,62.7906976744186,9.30232558139535,0.16279069767441862,Monday,4,Spring,False,False
2025-04-29,51,37,72.54901960784314,15.686274509803921,0.2549019607843137,Tuesday,4,Spring,False,False
2025-04-30,49,34,69.38775510204081,14.285714285714285,0.16326530612244897,Wednesday,4,Spring,False,False
2025-05-01,43,25,58.139534883720934,13.953488372093023,0.4883720930232558,Thursday,5,Spring,False,False
