day,is_solved,count
2025-05-11,True,14
2025-05-12,False,62
2025-05-12,True,22
2025-05-13,False,29
2025-05-13,True,4
2025-05-14,False,46
2025-05-14,True,10
2025-05-15,False,45
2025-05-15,True,8
2025-05-16,False,49
2025-05-16,True,11
2025-05-17,False,46
2025-05-17,True,19
2025-05-18,False,77
2025-05-18,True,21
2025-05-19,False,54
2025-05-19,True,11
2025-05-20,False,68
2025-05-20,True,14
2025-05-21,False,51
2025-05-21,True,12
2025-05-22,False,46
2025-05-22,True,14
2025-05-23,False,34
2025-05-23,True,5
2025-05-24,False,44
2025-05-24,True,21
2025-05-25,False,49
2025-05-25,True,7
2025-05-26,False,56
2025-05-26,True,13
2025-05-27,False,50
2025-05-27,True,10
2025-05-28,False,44
2025-05-28,True,11
2025-05-29,False,41
2025-05-29,True,18
2025-05-30,False,32
2025-05-30,True,12
2025-05-31,False,40
2025-05-31,True,20
2025-06-01,False,37
2025-06-01,True,17
2025-06-02,False,42
2025-06-02,True,24
2025-06-03,False,63
2025-06-03,True,14
2025-06-04,False,47
2025-06-04,True,14
2025-06-05,False,45
2025-06-05,True,15
2025-06-06,False,27
2025-06-06,True,8
2025-06-07,False,20
2025-06-07,True,4
2025-06-08,False,50
2025-06-08,True,9
2025-06-09,False,29
2025-06-09,True,6
2025-06-10,False,36
2025-06-10,True,10
2025-06-11,False,40
2025-06-11,True,13
2025-06-12,False,33
2025-06-12,True,15
2025-06-13,False,47
2025-06-13,True,20
2025-06-14,False,55
2025-06-14,True,12
2025-06-15,False,34
2025-06-15,True,14
2025-06-16,False,47
2025-06-16,True,24
2025-06-17,False,43
2025-06-17,True,13
2025-06-18,False,38
2025-06-18,True,15
2025-06-19,False,41
2025-06-19,True,9
2025-06-20,False,40
2025-06-20,True,16
2025-06-21,False,30
2025-06-21,True,14
2025-06-22,False,22
2025-06-22,True,8
2025-06-23,False,35
2025-06-23,True,23
2025-06-24,False,34
2025-06-24,True,18
2025-06-25,False,52
2025-06-25,True,13
2025-06-26,False,33
2025-06-26,True,15
2025-06-27,False,33
2025-06-27,True,17
2025-06-28,False,38
2025-06-28,True,10
2025-06-29,False,60
2025-06-29,True,30
2025-06-30,False,33
2025-06-30,True,13
2025-07-01,False,40
2025-07-01,True,18
2025-07-02,False,37
2025-07-02,True,22
2025-07-03,False,31
2025-07-03,True,18
2025-07-04,False,29
2025-07-04,True,21
2025-07-05,False,17
2025-07-05,True,11
2025-07-06,False,27
2025-07-06,True,14
2025-07-07,False,43
2025-07-07,True,12
2025-07-08,False,34
2025-07-08,True,6
2025-07-09,False,22
2025-07-09,True,17
2025-07-10,False,39
2025-07-10,True,19
2025-07-11,False,43
2025-07-11,True,19
2025-07-12,False,26
2025-07-12,True,19
2025-07-13,False,41
2025-07-13,True,17
2025-07-14,False,36
2025-07-14,True,14
2025-07-15,False,43
2025-07-15,True,7
2025-07-16,False,47
2025-07-16,True,5
2025-07-17,False,49
2025-07-17,True,16
2025-07-18,False,47
2025-07-18,True,17
2025-07-19,False,24
2025-07-19,True,13
2025-07-20,False,59
2025-07-20,True,47
2025-07-21,False,36
2025-07-21,True,9
2025-07-22,False,45
2025-07-22,True,21
2025-07-23,False,53
2025-07-23,True,13
2025-07-24,False,75
2025-07-24,True,22
2025-07-25,False,39
2025-07-25,True,22
2025-07-26,False,46
2025-07-26,True,23
2025-07-27,False,58
2025-07-27,True,19
2025-07-28,False,41
2025-07-28,True,9
2025-07-29,False,45
2025-07-29,True,12
2025-07-30,False,37
2025-07-30,True,18
2025-07-31,False,39
2025-07-31,True,18
2025-08-01,False,46
2025-08-01,True,18
2025-08-02,False,27
2025-08-02,True,15
2025-08-03,False,50
2025-08-03,True,21
2025-08-04,False,38
2025-08-04,True,18
2025-08-05,False,31
2025-08-05,True,7
2025-08-06,False,61
2025-08-06,True,36
2025-08-07,False,44
2025-08-07,True,25
2025-08-08,False,31
2025-08-08,True,7
2025-08-09,False,39
2025-08-09,True,19
2025-08-10,False,49
2025-08-10,True,20
2025-08-11,False,39
2025-08-11,True,12
2025-08-12,False,33
2025-08-12,True,20
2025-08-13,False,48
2025-08-13,True,20
2025-08-14,False,49
2025-08-14,True,31
2025-08-15,False,43
2025-08-15,True,25
2025-08-16,False,30
2025-08-16,True,11
2025-08-17,False,46
2025-08-17,True,13
2025-08-18,False,51
2025-08-18,True,22
2025-08-19,False,38
2025-08-19,True,10
2025-08-20,False,30
2025-08-20,True,7
2025-08-21,False,37
2025-08-21,True,13
2025-08-22,False,41
2025-08-22,True,24
2025-08-23,False,51
2025-08-23,True,19
2025-08-24,False,62
2025-08-24,True,22
2025-08-25,False,50
2025-08-25,True,25
2025-08-26,False,52
2025-08-26,True,11
2025-08-27,False,53
2025-08-27,True,9
2025-08-28,False,42
2025-08-28,True,8
2025-08-29,False,42
2025-08-29,True,18
2025-08-30,False,62
2025-08-30,True,21
2025-08-31,False,62
2025-08-31,True,13
2025-09-01,False,61
2025-09-01,True,13
2025-09-02,False,46
2025-09-02,True,18
2025-09-03,False,50
2025-09-03,True,12
2025-09-04,False,52
2025-09-04,True,15
2025-09-05,False,27
2025-09-05,True,9
2025-09-06,False,27
2025-09-06,True,6
2025-09-07,False,39
2025-09-07,True,15
2025-09-08,False,52
2025-09-08,True,15
2025-09-09,False,51
2025-09-09,True,10
2025-09-10,False,46
2025-09-10,True,12
2025-09-11,False,42
2025-09-11,True,3
2025-09-12,False,42
2025-09-12,True,11
2025-09-13,False,77
2025-09-13,True,23
2025-09-14,False,60
2025-09-14,True,15
2025-09-15,False,44
2025-09-15,True,5
2025-09-16,False,60
2025-09-16,True,20
2025-09-17,False,39
2025-09-17,True,7
2025-09-18,False,48
2025-09-18,True,5
2025-09-19,False,10
2025-09-21,False,3
