day,is_solved,count
2025-03-22,False,95
2025-03-22,True,3
2025-03-23,False,52
2025-03-23,True,15
2025-03-24,False,76
2025-03-24,True,6
2025-03-25,False,90
2025-03-25,True,17
2025-03-26,False,87
2025-03-26,True,15
2025-03-27,False,51
2025-03-27,True,5
2025-03-28,False,51
2025-03-28,True,9
2025-03-29,False,50
2025-03-29,True,6
2025-03-30,False,65
2025-03-30,True,6
2025-03-31,False,53
2025-03-31,True,16
2025-04-01,False,42
2025-04-01,True,10
2025-04-02,False,71
2025-04-02,True,15
2025-04-03,False,33
2025-04-03,True,11
2025-04-04,False,56
2025-04-04,True,8
2025-04-05,False,32
2025-04-05,True,3
2025-04-06,False,51
2025-04-06,True,7
2025-04-07,False,39
2025-04-07,True,8
2025-04-08,False,42
2025-04-08,True,6
2025-04-09,False,35
2025-04-09,True,5
2025-04-10,False,47
2025-04-10,True,10
2025-04-11,False,58
2025-04-11,True,6
2025-04-12,False,73
2025-04-12,True,22
2025-04-13,False,75
2025-04-13,True,18
2025-04-14,False,51
2025-04-14,True,8
2025-04-15,False,18
2025-04-15,True,5
2025-04-16,False,42
2025-04-16,True,8
2025-04-17,False,42
2025-04-17,True,4
2025-04-18,False,48
2025-04-18,True,3
2025-04-19,False,27
2025-04-19,True,7
2025-04-20,False,49
2025-04-20,True,6
2025-04-21,False,34
2025-04-21,True,6
2025-04-22,False,24
2025-04-22,True,12
2025-04-23,False,34
2025-04-23,True,5
2025-04-24,False,41
2025-04-24,True,13
2025-04-25,False,44
2025-04-25,True,13
2025-04-26,False,77
2025-04-26,True,8
2025-04-27,False,55
2025-04-27,True,22
2025-04-28,False,39
2025-04-28,True,4
2025-04-29,False,41
2025-04-29,True,10
2025-04-30,False,40
2025-04-30,True,9
2025-05-01,False,37
2025-05-01,True,6
2025-05-02,False,37
2025-05-02,True,12
2025-05-03,False,53
2025-05-03,True,11
2025-05-04,False,36
2025-05-04,True,4
2025-05-05,False,39
2025-05-05,True,10
2025-05-06,False,48
2025-05-06,True,7
2025-05-07,False,39
2025-05-07,True,10
2025-05-08,False,49
2025-05-08,True,10
2025-05-09,False,49
2025-05-09,True,8
2025-05-10,False,55
2025-05-10,True,10
2025-05-11,False,65
