InstitutionName,ServiceCenterLatitude,ServiceCenterLongitude,ServiceAreaMinLatitude,ServiceAreaMaxLatitude,ServiceAreaMinLongitude,ServiceAreaMaxLongitude,ServiceAreaKmSquared,DistrictsServed,DistrictsServedList,TotalRecords,InstitutionType,IsDistrictLevel,IsCityWide,IsUtilityCompany,ServiceAreaCoverage,WorkloadCategory,PerformanceRanking,EfficiencyScore,TerritorySizeCategory
BKM Budapesti Kรถzmลฑvek,47.446,19.126,47.436,47.455999999999996,19.116,19.136000000000003,0.0,1,['Unknown'],4,Other Municipal,0,1,0,1.0,Low,23,42.5,Small
Becketts Ír Pub és Étterem,47.504,19.063,47.494,47.513999999999996,19.052999999999997,19.073,0.0,1,['VI. kerület'],1,Other Municipal,0,0,0,1.0,Low,999,,Small
Bercsényi Miklós Szakiskola és Kollégium,47.488,19.153,47.478,47.498,19.142999999999997,19.163,0.0,1,['X. kerület'],1,Education,0,0,0,1.0,Low,999,,Small
Bethesda Gyermekkórház,47.518,19.089,47.508,47.528,19.078999999999997,19.099,0.0,1,['XIV. kerület'],1,Healthcare,0,0,0,1.0,Low,999,,Small
Budagyöngye,47.516,19.0,47.506,47.525999999999996,18.99,19.01,0.0,1,['II. kerület'],1,Other Municipal,0,0,0,1.0,Low,999,,Small
Budai Tamás - egyéni vállalkozó,47.516,19.127,47.498000000000005,47.543,19.081999999999997,19.193,27.5275,2,"['XIV. kerület', 'XVI. kerület']",5,Other Municipal,0,0,0,1.0,Low,49,30.5,Large
Budapest Airport,47.433,19.262,47.422000000000004,47.443,19.250999999999998,19.274,0.0363,2,"['XVIII. kerület', 'Unknown']",4,Other Municipal,0,1,0,1.0,Low,81,20.8,Small
Budapest Brand NZrt.,47.527,19.07,47.469,47.568999999999996,19.029999999999998,19.095000000000002,43.56,2,"['XIII. kerület', 'XI. kerület']",5,Other Municipal,0,1,1,1.0,Low,999,,Large
Budapest Film Zrt.,47.486,19.071,47.476,47.495999999999995,19.061,19.082,0.0,1,['VIII. kerület'],2,Other Municipal,0,1,1,1.0,Low,999,,Small
Budapest Főváros Önkormányzata,47.498,19.076,47.4089,47.6141,18.9409,19.2661,560.7261000000001,18,"['IX. kerület', 'XI. kerület', 'III. kerület', 'VII. kerület', 'VI. kerület', 'V. kerület', 'XVI. kerület', 'I. kerület', 'II. kerület', 'XIII. kerület', 'X. kerület', 'Unknown', 'XV. kerület', 'VIII. kerület', 'XVIII. kerület', 'XIX. kerület', 'IV. kerület', 'XVII. kerület']",104,Local Government,0,1,0,1.0,Medium,147,7.1,Large
Budapest Galéria,47.49,19.053,47.480000000000004,47.501,19.035999999999998,19.071,0.1815,2,"['V. kerület', 'I. kerület']",2,Other Municipal,0,1,0,1.0,Low,999,,Small
Budapest KÃķzÃšt,47.478,19.064,47.385,47.529,18.998199999999997,19.2118,258.45599999999996,2,"['Unknown', 'Csepel']",12,Other Municipal,0,1,0,1.0,Low,37,38.1,Large
Budapest Közút,47.5,19.073,47.3539,47.631099999999996,18.893800000000002,19.3402,1039.7772,24,"['III. kerület', 'XXIII. kerület', 'XIV. kerület', 'XIII. kerület', 'VI. kerület', 'VIII. kerület', 'XXII. kerület', 'IX. kerület', 'I. kerület', 'XVIII. kerület', 'XI. kerület', 'V. kerület', 'XIX. kerület', 'X. kerület', 'II. kerület', 'VII. kerület', 'XII. kerület', 'XVI. kerület', 'XV. kerület', 'XX. kerület', 'XVII. kerület', 'XXI. kerület', 'IV. kerület', 'Unknown']",4406,Roads & Traffic,0,1,0,1.0,Very High,131,11.3,Large
Budapest KĂśzĂşt,47.427,19.074,47.395199999999996,47.524800000000006,19.061999999999998,19.09,10.4544,2,"['Unknown', 'Csepel']",5,Other Municipal,0,1,0,1.0,Low,15,55.5,Large
Budapest Kأ¶zأ؛t,47.446,19.147,47.436,47.455999999999996,19.136999999999997,19.157,0.0,1,['Kispest'],1,Other Municipal,0,1,0,1.0,Low,999,,Small
Budapest Kรถzรบt,47.452,19.109,47.442,47.461999999999996,19.099,19.119000000000003,0.0,1,['Unknown'],1,Other Municipal,0,1,0,1.0,Low,999,,Small
Budapest Vásárcsarnokai,47.479,19.053,47.455000000000005,47.503,19.023,19.083000000000002,13.552000000000001,2,"['XI. kerület', 'VIII. kerület']",2,Other Municipal,0,1,0,1.0,Low,85,20.4,Large
Budapesti Corvinus Egyetem,47.486,19.059,47.475,47.497,19.048,19.07,0.0484,2,"['IX. kerület', 'Unknown']",5,Other Municipal,0,1,0,1.0,Low,999,,Small
Budavári Kapu Kft.,47.508,19.035,47.498000000000005,47.518,19.025,19.045,0.0,1,['I. kerület'],1,Other Municipal,0,0,1,1.0,Low,26,40.6,Small
Burger King,47.464,19.032,47.454,47.474,19.022,19.042,0.0,1,['XI. kerület'],2,Other Municipal,0,0,0,1.0,Low,18,48.6,Small
Bálna,47.483,19.062,47.473,47.492999999999995,19.052,19.072000000000003,0.0,1,['IX. kerület'],1,Other Municipal,0,0,0,1.0,Low,999,,Small
Campona,47.406,19.016,47.396,47.416,19.005999999999997,19.026,0.0,1,['XXII. kerület'],4,Other Municipal,0,0,0,1.0,Low,999,,Small
Citadella Vagyonkezelő Nonprofit Kft.,47.486,19.046,47.476,47.495999999999995,19.035999999999998,19.056,0.0,1,['XI. kerület'],1,Other Municipal,0,0,1,1.0,Low,999,,Small
Cordia,47.485,19.077,47.475,47.495,19.067,19.087000000000003,0.0,1,['VIII. kerület'],2,Other Municipal,0,0,0,1.0,Low,999,,Small
Corvin Plaza,47.486,19.074,47.476,47.495999999999995,19.064,19.084000000000003,0.0,1,['VIII. kerület'],1,Other Municipal,0,0,0,1.0,Low,999,,Small
Csillag Center,47.581,19.05,47.571000000000005,47.591,19.04,19.060000000000002,0.0,1,['III. kerület'],3,Other Municipal,0,0,0,1.0,Low,999,,Small
Cédrus Vásárcsarnok és Piac,47.501,19.137,47.491,47.510999999999996,19.127,19.147000000000002,0.0,1,['X. kerület'],1,Other Municipal,0,0,0,1.0,Low,999,,Small
D-Infrastruktúra Távközlési Kft.,47.508,19.092,47.454,47.568999999999996,18.9647,19.1963,221.8535,10,"['XIV. kerület', 'IV. kerület', 'VI. kerület', 'IX. kerület', 'XIII. kerület', 'X. kerület', 'XVI. kerület', 'XVIII. kerület', 'II. kerület', 'XI. kerület']",24,Other Municipal,0,0,1,1.0,Low,60,27.2,Large
Duna Plaza,47.551,19.072,47.541000000000004,47.561,19.061999999999998,19.082,0.0,1,['XIII. kerület'],1,Other Municipal,0,0,0,1.0,Low,999,,Small
E.ON,47.501,19.084,47.382999999999996,47.623000000000005,18.9178,19.2802,730.84,22,"['VI. kerület', 'XIV. kerület', 'XIX. kerület', 'I. kerület', 'XX. kerület', 'XVIII. kerület', 'III. kerület', 'II. kerület', 'VIII. kerület', 'XXI. kerület', 'Unknown', 'XI. kerület', 'IX. kerület', 'XIII. kerület', 'X. kerület', 'XVII. kerület', 'VII. kerület', 'V. kerület', 'XVI. kerület', 'XV. kerület', 'XII. kerület', 'IV. kerület']",219,Other Municipal,0,0,0,1.0,High,150,5.5,Large
ELTE Eötvös Loránd Tudományegyetem,47.496,19.096,47.465,47.527,19.051,19.142000000000003,36.0822,2,"['XIV. kerület', 'XI. kerület']",2,Other Municipal,0,0,0,1.0,Low,81,20.8,Large
ERSTE BANK Hungary Zrt.,47.537,19.059,47.527,47.547,19.049,19.069000000000003,0.0,1,['XIII. kerület'],1,Other Municipal,0,0,1,1.0,Low,999,,Small
ESMA Reklám Zrt.,47.479,19.09,47.469,47.489,19.08,19.1,0.0,1,['VIII. kerület'],1,Other Municipal,0,0,1,1.0,Low,999,,Small
EgyÃĐb illetÃĐkes,47.465,19.018,47.455000000000005,47.475,19.008,19.028000000000002,0.0,1,['Unknown'],1,Other Municipal,0,0,0,1.0,Low,999,,Small
Egyéb illetékes,47.505,19.078,47.3554,47.626599999999996,18.933400000000002,19.2886,809.4416,24,"['III. kerület', 'I. kerület', 'VI. kerület', 'XI. kerület', 'XV. kerület', 'XIII. kerület', 'X. kerület', 'XIV. kerület', 'XVIII. kerület', 'VIII. kerület', 'IV. kerület', 'V. kerület', 'XXII. kerület', 'IX. kerület', 'II. kerület', 'XVII. kerület', 'XIX. kerület', 'XII. kerület', 'Unknown', 'VII. kerület', 'XX. kerület', 'XXI. kerület', 'XVI. kerület', 'XXIII. kerület']",272,Other Municipal,0,0,0,1.0,High,124,14.1,Large
EgyĂŠb illetĂŠkes,47.471,19.058,47.461,47.480999999999995,19.048,19.068,0.0,1,['Unknown'],1,Other Municipal,0,0,0,1.0,Low,999,,Small
Erkel Színház,47.497,19.077,47.487,47.507,19.067,19.087000000000003,0.0,1,['VIII. kerület'],1,Other Municipal,0,0,0,1.0,Low,31,40.0,Small
Europeum Bevásárlóközpont,47.496,19.071,47.486000000000004,47.506,19.061,19.081000000000003,0.0,1,['VIII. kerület'],1,Other Municipal,0,0,0,1.0,Low,999,,Small
FCSM FÅvÃĄrosi CsatornÃĄzÃĄsi MÅąvek,47.594,19.067,47.584,47.604,19.057,19.077,0.0,1,['Unknown'],4,Other Municipal,0,0,0,1.0,Low,20,46.7,Small
FCSM Fővárosi Csatornázási Művek,47.496,19.085,47.3684,47.6276,18.9314,19.3106,825.8976,24,"['IX. kerület', 'XIX. kerület', 'XVI. kerület', 'XIV. kerület', 'XI. kerület', 'XII. kerület', 'VII. kerület', 'X. kerület', 'I. kerület', 'IV. kerület', 'II. kerület', 'XX. kerület', 'XXIII. kerület', 'XIII. kerület', 'VI. kerület', 'XXII. kerület', 'XXI. kerület', 'VIII. kerület', 'XVII. kerület', 'Unknown', 'III. kerület', 'V. kerület', 'XV. kerület', 'XVIII. kerület']",357,Other Municipal,0,1,0,1.0,High,40,35.4,Large
Fidesz - Magyar Polgári Szövetség,47.547,19.069,47.4079,47.613099999999996,19.041999999999998,19.135,151.04430000000002,4,"['XX. kerület', 'XXI. kerület', 'XIII. kerület', 'III. kerület']",8,Other Municipal,0,0,0,1.0,Low,71,25.3,Large
FÖRI Fővárosi Önkormányzati Rendészet,47.493,19.074,47.407799999999995,47.5422,18.9833,19.195700000000002,239.87039999999996,12,"['VI. kerület', 'XIV. kerület', 'VII. kerület', 'VIII. kerület', 'X. kerület', 'II. kerület', 'Unknown', 'IX. kerület', 'V. kerület', 'XIII. kerület', 'XXII. kerület', 'XI. kerület']",66,Law Enforcement,0,1,0,1.0,Medium,97,18.5,Large
