url,title,address,latitude,longitude,category,status,is_solved
https://jarokelo.hu/bejelentesek/budapest/160670/egyenetlen-hullamos-ut,"Egyenetlen, hullámos út","I. kerület, Várkerület,  Bem rkp. 25a",47.50480335236702,19.03930613867501,Kátyú,Megoldásra vár,False
https://jarokelo.hu/bejelentesek/budapest/160672/elkepeszto-uthiba,Elképesztő úthiba,"XIII. kerület,  Róbert Károly körút 27",47.53269192482457,19.06702831971305,Kátyú,Megoldásra vár,False
https://jarokelo.hu/bejelentesek/budapest/160673/omladozo-terulet,Omladozó terület,"I. kerület, Várkerület,  Déli pályaudvar M",47.50027817764749,19.025523724859667,Járda,Megoldásra vár,False
https://jarokelo.hu/bejelentesek/budapest/160676/rozsdas-oszlopok,Rozsdás oszlopok,"I. kerület, Várkerület,  Krisztina krt. 39",47.50019210450844,19.025852295468365,Egyéb,Megerősítésre vár,False
https://jarokelo.hu/bejelentesek/budapest/160679/graffitis-szekreny,Graffitis szekrény,"I. kerület, Várkerület,  Batthyány tér 4",47.50640070322307,19.038310368604428,Graffiti,Megoldott,False
https://jarokelo.hu/bejelentesek/budapest/160680/levalaszto-poller-kidontve,Leválasztó poller kidöntve,"VIII. kerület, Józsefváros,  Üllői út 52",47.48483856710851,19.073003874045636,Forgalomtechnika,Megoldott,False
https://jarokelo.hu/bejelentesek/budapest/160629/uthiba-a-fedlap-korul,Úthiba a fedlap körül,"III. kerület, Óbuda-Békásmegyer,  Nánási út 61",47.572283043220416,19.06190655426137,Kátyú,Megoldatlan,False
https://jarokelo.hu/bejelentesek/budapest/160630/gyanus-jarmu,Gyanús jármű,"III. kerület, Óbuda-Békásmegyer,  Nánási út 25",47.56848460146961,19.06167454320903,Elhagyott jármű,Megoldott,False
https://jarokelo.hu/bejelentesek/budapest/160631/beszakado-ut-a-lefolyo-korul,Beszakadó út a lefolyó körül,"III. kerület, Óbuda-Békásmegyer,  Slachta Margit rkp. 972",47.538780577321546,19.047324700880285,Kátyú,Megoldásra vár,False
https://jarokelo.hu/bejelentesek/budapest/160632/rengeteg-szemet,Rengeteg szemét,"XI. kerület, Újbuda,  Irinyi József u. 2",47.47698540838936,19.060174073681594,Köztisztaság,Megoldott,False
https://jarokelo.hu/bejelentesek/budapest/160633/fedlapsullyedes,Fedlapsüllyedés,"III. kerület, Óbuda-Békásmegyer,  Mozaik u. 24",47.552797423451075,19.048031424658582,Közművek,Megerősítésre vár,False
https://jarokelo.hu/bejelentesek/budapest/160634/katyu-a-lefolyo-mellett,Kátyú a lefolyó mellett,"III. kerület, Óbuda-Békásmegyer,  Nagyszombat u. 1-A",47.531925908913315,19.04357991437946,Kátyú,Megerősítésre vár,False
https://jarokelo.hu/bejelentesek/budapest/160635/hianyos-fedlap,Hiányos fedlap,"III. kerület, Óbuda-Békásmegyer,  Óbuda",47.550324131392046,19.042006864096248,Közművek,Megoldásra vár,False
https://jarokelo.hu/bejelentesek/budapest/160636/firkas-megalloepulet,Firkás megállóépület,"III. kerület, Óbuda-Békásmegyer,  Óbuda",47.55059025018219,19.04199613526106,Graffiti,Megerősítésre vár,False
https://jarokelo.hu/bejelentesek/budapest/160637/veszelyes-uthiba,Veszélyes úthiba,"II. kerület,  Csalogány u. 1",47.50771836976188,19.039300853939395,Kátyú,Megoldásra vár,False
https://jarokelo.hu/bejelentesek/budapest/160638/petofi-hid-budai-hidfoje-graffitis,Petőfi híd budai hídfője graffitis,"XI. kerület, Újbuda,  Petőfi híd 1",47.477545581710814,19.060257222151908,Graffiti,Megerősítésre vár,False
https://jarokelo.hu/bejelentesek/budapest/159831/elfordult-tabla,Elfordult tábla,"XIV. kerület, Zugló,  Nagybecskerek u. 13",47.51924582583071,19.108275346953107,Forgalomtechnika,Megerősítésre vár,False
https://jarokelo.hu/bejelentesek/budapest/159832/egyenetlen-katyus-utszakasz,"Egyenetlen, kátyús útszakasz","XIV. kerület, Zugló,  Bácskai u. 39b",47.5180421302288,19.106644563848217,Kátyú,Megerősítésre vár,False
https://jarokelo.hu/bejelentesek/budapest/159833/rongalt-telefonfulke,Rongált telefonfülke,"XIV. kerület, Zugló,  Bácskai u. 36",47.51778762070059,19.106038384623808,Graffiti,Megoldott,False
https://jarokelo.hu/bejelentesek/budapest/159834/elfogadhatatlan-allapotu-forgalmas-utszakasz,"Elfogadhatatlan állapotú, forgalmas útszakasz","XIV. kerület, Zugló,  Kerepesi út 40",47.500562917843304,19.111272356810748,Kátyú,Megoldásra vár,False
https://jarokelo.hu/bejelentesek/budapest/159836/firkas-feluljaro,Firkás felüljáró,"III. kerület, Óbuda-Békásmegyer,  Árpád fejedelem útja 125",47.533286505468844,19.044213401053735,Graffiti,Válaszra vár,False
https://jarokelo.hu/bejelentesek/budapest/159837/firkalt-torott-tablak,"Firkált, törött táblák","III. kerület, Óbuda-Békásmegyer,  Tímár utca H",47.5326888968218,19.043782235969022,Forgalomtechnika,Megerősítésre vár,False
https://jarokelo.hu/bejelentesek/budapest/159838/rossz-allapotu-jarda,Rossz állapotú járda,"II. kerület,  Fő u. 47",47.50781213072756,19.038560564184923,Járda,Megerősítésre vár,False
https://jarokelo.hu/bejelentesek/budapest/159842/gondozatlan-park,Gondozatlan park,"I. kerület, Várkerület,  Kagyló u. 2b",47.50646775457451,19.034165764702692,Parkok és zöldterületek,Megerősítésre vár,False
https://jarokelo.hu/bejelentesek/budapest/159843/rossz-allapotu-parkoloautomata,Rossz állapotú parkolóautomata,"I. kerület, Várkerület,  Toldy Ferenc u. 27",47.506488137892795,19.033954540759925,Parkolás,Megerősítésre vár,False
https://jarokelo.hu/bejelentesek/budapest/159844/megdolt-tabla,Megdőlt tábla,"I. kerület, Várkerület,  Kapás u. 2",47.50715761226647,19.032324428217787,Forgalomtechnika,Megerősítésre vár,False
https://jarokelo.hu/bejelentesek/budapest/159845/szemet-a-parkban,Szemét a parkban,"III. kerület, Óbuda-Békásmegyer,  Árpád fejedelem útja 79",47.532412437579865,19.043295070303774,Köztisztaság,Megoldott,False
https://jarokelo.hu/bejelentesek/budapest/159846/gyanus-reklam,Gyanús reklám,"II. kerület,  Bem József u. 20",47.511705918521386,19.035729939576473,Egyéb,Megoldott,False
https://jarokelo.hu/bejelentesek/budapest/159848/elallo-fedlap,Elálló fedlap,"II. kerület,  Medve utca",47.50759188977886,19.035324744602182,Forgalomtechnika,Megoldott,False
https://jarokelo.hu/bejelentesek/budapest/159633/jardan-parkolas,Járdán parkolás,"VIII. kerület, Józsefváros,  Üllői út 102",47.47611232,19.09825049,Parkolás,Megoldott,False
https://jarokelo.hu/bejelentesek/budapest/159440/ujabb-graffitik-az-aluljaroban,Újabb graffitik az aluljáróban,"III. kerület, Óbuda-Békásmegyer,  Raktár utca",47.5453847,19.042732,Graffiti,Válaszra vár,False
https://jarokelo.hu/bejelentesek/budapest/159443/utcai-telefonfulke-helyreallitasa-vagy-leszerelese-elszallitasa,"Utcai telefonfülke helyreállítása vagy leszerelése, elszállítása","III. kerület, Óbuda-Békásmegyer,  Lajos u. 130",47.5360619,19.0438134,Közművek,Megerősítésre vár,False
https://jarokelo.hu/bejelentesek/budapest/159447/leszakadt-faag-elszallittatasa,Leszakadt faág elszállíttatása,"III. kerület, Óbuda-Békásmegyer,  Lajos u. 150",47.5366247,19.0445269,Köztisztaság,Megoldott,False
https://jarokelo.hu/bejelentesek/budapest/159452/utcai-lampa-nem-vilagit-a-buszmegalloban,Utcai lámpa nem világít a buszmegállóban,"III. kerület, Óbuda-Békásmegyer,  Szentlélek tér H",47.5402304,19.0457398,Közvilágítás,Megoldott,False
