institution,TotalIssuesAssigned,ResolutionRate,ResolvedCount,AvgDaysToResolution,MedianDaysToResolution,AvgDaysToFirstResponse,MedianDaysToFirstResponse,ServiceCenterLat,MinLat,MaxLat,GPSRecordCount,ServiceCenterLng,MinLng,MaxLng,DistrictsServedCount,DistrictsServedList,ImageResponseRate,AnonymousReportingRate,EfficiencyScore,PerformanceRanking,WorkloadCategory,ServiceAreaCoverage,ServiceAreaSpanLat,ServiceAreaSpanLng,InstitutionName
BOE Parking Kft.,1,0.0,0,,,40.0,40.0,47.5,47.5,47.5,1,19.027,19.027,19.027,1,['I. kerület'],0.0,0.0,,999,Low,1.0,0.0,0.0,BOE Parking Kft.
BUBBLES,1,1.0,1,60.0,60.0,503.0,503.0,47.48,47.48,47.48,1,19.244,19.244,19.244,1,['XVII. kerület'],0.0,0.0,50.0,16,Low,1.0,0.0,0.0,BUBBLES
Becketts Ír Pub és Étterem,1,0.0,0,,,82.0,82.0,47.504,47.504,47.504,1,19.063,19.063,19.063,1,['VI. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,Becketts Ír Pub és Étterem
Bercsényi Miklós Szakiskola és Kollégium,1,0.0,0,,,4.0,4.0,47.488,47.488,47.488,1,19.153,19.153,19.153,1,['X. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,Bercsényi Miklós Szakiskola és Kollégium
Bethesda Gyermekkórház,1,0.0,0,,,41.0,41.0,47.518,47.518,47.518,1,19.089,19.089,19.089,1,['XIV. kerület'],0.0,0.0,,999,Low,1.0,0.0,0.0,Bethesda Gyermekkórház
Biggeorge Property,1,0.0,0,,,4.0,4.0,47.466,47.466,47.466,1,19.008,19.008,19.008,1,['XI. kerület'],0.0,0.0,,999,Low,1.0,0.0,0.0,Biggeorge Property
Budagyöngye,5,0.0,0,,,63.0,41.0,47.516,47.516,47.516,5,19.0,19.0,19.0,1,['II. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,Budagyöngye
Budai Tamás - egyéni vállalkozó,5,0.2,1,3.0,3.0,51.0,40.0,47.516,47.508,47.533,5,19.127,19.092,19.183,2,"['XIV. kerület', 'XVI. kerület']",0.0,0.6,37.0,50,Low,1.0,0.025,0.091,Budai Tamás - egyéni vállalkozó
Budapest Airport,4,0.25,1,18.0,18.0,45.667,41.0,47.433,47.432,47.433,4,19.262,19.261,19.264,2,"['XVIII. kerület', 'XVII. kerület']",0.0,1.0,24.5,125,Low,1.0,0.001,0.003,Budapest Airport
Budapest Brand NZrt.,7,0.0,0,,,37.286,34.0,47.521,47.479,47.559,7,19.067,19.04,19.085,5,"['VIII. kerület', 'V. kerület', 'IV. kerület', 'XIII. kerület', 'XI. kerület']",0.0,0.571,,999,Low,1.0,0.08,0.045,Budapest Brand NZrt.
Budapest Film Zrt.,2,0.0,0,,,61.5,61.5,47.486,47.486,47.486,2,19.071,19.071,19.072,1,['VIII. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.001,Budapest Film Zrt.
Budapest Főváros Önkormányzata,205,0.327,67,146.269,93.0,16.98,4.0,47.498,47.406,47.597,205,19.073,18.931,19.294,22,"['XIII. kerület', 'XIV. kerület', 'II. kerület', 'XI. kerület', 'VIII. kerület', 'X. kerület', 'III. kerület', 'I. kerület', 'IX. kerület', 'XVI. kerület', 'VI. kerület', 'XVIII. kerület', 'V. kerület', 'XX. kerület', 'VII. kerület', 'XXII. kerület', 'XXI. kerület', 'XVII. kerület', 'IV. kerület', 'XII. kerület', 'XIX. kerület', 'XV. kerület']",0.0,0.62,16.4,153,High,1.0,0.191,0.363,Budapest Főváros Önkormányzata
Budapest Galéria,2,0.0,0,,,7.5,7.5,47.49,47.49,47.491,2,19.053,19.046,19.061,2,"['V. kerület', 'I. kerület']",0.0,0.5,,999,Low,1.0,0.001,0.015,Budapest Galéria
Budapest Közút,7296,0.495,3609,112.888,70.0,18.288,8.0,47.497,47.374,47.609,7296,19.075,18.93,19.314,23,"['XIV. kerület', 'II. kerület', 'IX. kerület', 'XII. kerület', 'XVIII. kerület', 'III. kerület', 'XVII. kerület', 'X. kerület', 'XI. kerület', 'IV. kerület', 'VIII. kerület', 'XXII. kerület', 'XV. kerület', 'XVI. kerület', 'XX. kerület', 'XXI. kerület', 'XIII. kerület', 'V. kerület', 'I. kerület', 'VII. kerület', 'VI. kerület', 'XIX. kerület', 'XXIII. kerület']",0.0,0.509,24.8,123,Very High,1.0,0.235,0.384,Budapest Közút
Budapest Vásárcsarnokai,6,0.667,4,252.5,174.0,39.0,45.0,47.486,47.464,47.542,6,19.045,19.033,19.073,4,"['III. kerület', 'XI. kerület', 'IX. kerület', 'VIII. kerület']",0.0,0.333,33.4,68,Low,1.0,0.078,0.04,Budapest Vásárcsarnokai
Budapesti Bajcsy-Zsilinszky Kórház,1,0.0,0,,,46.0,46.0,47.478,47.478,47.478,1,19.255,19.255,19.255,1,['XVII. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,Budapesti Bajcsy-Zsilinszky Kórház
Budapesti Corvinus Egyetem,7,0.143,1,1.0,1.0,41.714,42.0,47.486,47.485,47.487,7,19.059,19.058,19.06,1,['IX. kerület'],0.0,0.714,36.2,52,Low,1.0,0.002,0.002,Budapesti Corvinus Egyetem
Budavári Játszótér Üzemeltető Közhasznú Nonprofit Kft.,1,0.0,0,,,1.0,1.0,47.501,47.501,47.501,1,19.035,19.035,19.035,1,['I. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,Budavári Játszótér Üzemeltető Közhasznú Nonprofit Kft.
Budavári Kapu Kft.,3,0.333,1,40.0,40.0,22.333,25.0,47.505,47.5,47.508,3,19.034,19.028,19.038,1,['I. kerület'],0.0,0.667,16.7,149,Low,1.0,0.008,0.01,Budavári Kapu Kft.
Burger King,2,1.0,2,38.0,38.0,4.0,4.0,47.464,47.464,47.464,2,19.032,19.032,19.032,1,['XI. kerület'],0.0,0.0,58.6,11,Low,1.0,0.0,0.0,Burger King
Bálna,4,0.25,1,93.0,93.0,2.5,1.0,47.484,47.483,47.484,4,19.061,19.061,19.062,1,['IX. kerület'],0.0,0.5,25.4,111,Low,1.0,0.001,0.001,Bálna
Békásmegyeri I. sz. Lakásszövetkezet,1,1.0,1,172.0,172.0,40.0,40.0,47.595,47.595,47.595,1,19.061,19.061,19.061,1,['III. kerület'],0.0,0.0,50.0,16,Low,1.0,0.0,0.0,Békásmegyeri I. sz. Lakásszövetkezet
Campona,4,0.0,0,,,46.333,40.0,47.406,47.405,47.407,4,19.016,19.014,19.016,1,['XXII. kerület'],0.0,0.75,,999,Low,1.0,0.002,0.002,Campona
Citadella Vagyonkezelő Nonprofit Kft.,1,0.0,0,,,1.0,1.0,47.486,47.486,47.486,1,19.046,19.046,19.046,1,['XI. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,Citadella Vagyonkezelő Nonprofit Kft.
City Dekor Kft.,3,0.0,0,,,14.667,2.0,47.494,47.479,47.524,3,19.081,19.064,19.09,2,"['VIII. kerület', 'XIII. kerület']",0.0,0.0,,999,Low,1.0,0.045,0.026,City Dekor Kft.
Cordia,1,0.0,0,,,80.0,80.0,47.485,47.485,47.485,1,19.077,19.077,19.077,1,['VIII. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,Cordia
Corvin Plaza,4,0.0,0,,,41.0,40.0,47.485,47.484,47.487,4,19.075,19.073,19.076,1,['VIII. kerület'],0.0,0.5,,999,Low,1.0,0.003,0.003,Corvin Plaza
Csepeli Ingatlanhasznosítási Nonprofit Kft.,1,0.0,0,,,18.0,18.0,47.408,47.408,47.408,1,19.073,19.073,19.073,1,['XXI. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,Csepeli Ingatlanhasznosítási Nonprofit Kft.
Csillag Center,2,0.0,0,,,60.0,60.0,47.581,47.581,47.581,2,19.05,19.05,19.05,1,['III. kerület'],0.0,0.5,,999,Low,1.0,0.0,0.0,Csillag Center
Cédrus Vásárcsarnok és Piac,1,0.0,0,,,81.0,81.0,47.501,47.501,47.501,1,19.137,19.137,19.137,1,['X. kerület'],0.0,0.0,,999,Low,1.0,0.0,0.0,Cédrus Vásárcsarnok és Piac
D-Infrastruktúra Távközlési Kft.,28,0.821,23,85.957,46.0,16.821,3.5,47.506,47.464,47.58,28,19.098,18.984,19.227,11,"['X. kerület', 'VI. kerület', 'III. kerület', 'XIV. kerület', 'XVI. kerület', 'XI. kerület', 'IV. kerület', 'IX. kerület', 'XIII. kerület', 'XVIII. kerület', 'II. kerület']",0.0,0.714,41.0,39,Low,1.0,0.116,0.243,D-Infrastruktúra Távközlési Kft.
DBH - Díjbeszedő Holding Zrt.,1,1.0,1,383.0,383.0,2.0,2.0,47.464,47.464,47.464,1,19.033,19.033,19.033,1,['XI. kerület'],0.0,0.0,64.3,6,Low,1.0,0.0,0.0,DBH - Díjbeszedő Holding Zrt.
DIGI,38,0.632,24,71.208,28.5,14.853,1.5,47.497,47.386,47.589,38,19.06,18.94,19.178,14,"['XVIII. kerület', 'II. kerület', 'XXIII. kerület', 'IX. kerület', 'III. kerület', 'XIII. kerület', 'XI. kerület', 'XIV. kerület', 'XII. kerület', 'XX. kerület', 'XIX. kerület', 'IV. kerület', 'X. kerület', 'XXI. kerület']",0.0,0.447,31.6,76,Low,1.0,0.203,0.238,DIGI
DK - Demokratikus Koalíció,4,1.0,4,99.0,52.0,223.25,273.5,47.512,47.456,47.596,4,19.035,19.013,19.059,3,"['III. kerület', 'XI. kerület', 'II. kerület']",0.0,0.75,50.0,16,Low,1.0,0.14,0.046,DK - Demokratikus Koalíció
Derűs Alkony Gondozóház,1,0.0,0,,,40.0,40.0,47.599,47.599,47.599,1,19.064,19.064,19.064,1,['III. kerület'],0.0,0.0,,999,Low,1.0,0.0,0.0,Derűs Alkony Gondozóház
Duna Plaza,2,0.0,0,,,22.5,22.5,47.55,47.549,47.551,2,19.073,19.072,19.073,1,['XIII. kerület'],0.0,0.5,,999,Low,1.0,0.002,0.001,Duna Plaza
Duna-Ipoly Nemzeti Park,1,1.0,1,396.0,396.0,3.0,3.0,47.499,47.499,47.499,1,18.991,18.991,18.991,1,['XII. kerület'],0.0,1.0,61.4,10,Low,1.0,0.0,0.0,Duna-Ipoly Nemzeti Park
E.ON,340,0.274,93,150.452,91.0,17.984,3.0,47.497,47.39,47.601,340,19.083,18.94,19.313,23,"['XII. kerület', 'III. kerület', 'VI. kerület', 'II. kerület', 'XIX. kerület', 'V. kerület', 'XVII. kerület', 'XI. kerület', 'VIII. kerület', 'XIII. kerület', 'XVI. kerület', 'XXII. kerület', 'XIV. kerület', 'IX. kerület', 'XVIII. kerület', 'X. kerület', 'XV. kerület', 'VII. kerület', 'XX. kerület', 'IV. kerület', 'I. kerület', 'XXIII. kerület', 'XXI. kerület']",0.0,0.5,13.7,160,High,1.0,0.211,0.373,E.ON
ELTE - Kőrösi Csoma Sándor Kollégium,1,1.0,1,368.0,368.0,63.0,63.0,47.471,47.471,47.471,1,19.02,19.02,19.02,1,['XI. kerület'],0.0,1.0,50.0,16,Low,1.0,0.0,0.0,ELTE - Kőrösi Csoma Sándor Kollégium
ELTE Eötvös Loránd Tudományegyetem,9,0.111,1,85.0,85.0,32.111,40.0,47.482,47.474,47.517,9,19.069,19.061,19.132,3,"['XI. kerület', 'VII. kerület', 'XIV. kerület']",0.0,0.556,5.6,178,Low,1.0,0.043,0.071,ELTE Eötvös Loránd Tudományegyetem
ERSTE BANK Hungary Zrt.,1,0.0,0,,,18.0,18.0,47.537,47.537,47.537,1,19.059,19.059,19.059,1,['XIII. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,ERSTE BANK Hungary Zrt.
ESMA Reklám Zrt.,1,0.0,0,,,1.0,1.0,47.479,47.479,47.479,1,19.09,19.09,19.09,1,['VIII. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,ESMA Reklám Zrt.
Egyéb illetékes,616,0.378,233,87.082,49.0,26.77,10.0,47.502,47.378,47.609,616,19.082,18.953,19.309,23,"['II. kerület', 'XVI. kerület', 'III. kerület', 'XIX. kerület', 'VIII. kerület', 'XI. kerület', 'XIV. kerület', 'XXI. kerület', 'X. kerület', 'XVII. kerület', 'XX. kerület', 'XIII. kerület', 'I. kerület', 'VII. kerület', 'V. kerület', 'XII. kerület', 'VI. kerület', 'IX. kerület', 'XVIII. kerület', 'IV. kerület', 'XV. kerület', 'XXII. kerület', 'XXIII. kerület']",0.0,0.631,18.9,143,Very High,1.0,0.231,0.356,Egyéb illetékes
Erkel Színház,1,1.0,1,30.0,30.0,9.0,9.0,47.497,47.497,47.497,1,19.077,19.077,19.077,1,['VIII. kerület'],0.0,0.0,50.0,16,Low,1.0,0.0,0.0,Erkel Színház
Europeum Bevásárlóközpont,1,0.0,0,,,39.0,39.0,47.496,47.496,47.496,1,19.071,19.071,19.071,1,['VIII. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,Europeum Bevásárlóközpont
