institution,reports_count
XIII. kerület Önkormányzata,318
XIV. Kerületi Rendőrkapitányság,3
XIV. kerület Zugló Önkormányzata,48
XIV. kerület Zuglói Közbiztonsági NKft.,1
XIV. kerület Zuglói Városgazdálkodási Közszolgáltató Zrt.,616
XIV. kerület Zuglói Önkormányzati Rendészet,176
XIX. kerület Kispest Önkormányzata,3
XIX. kerület Kispesti Rendészeti Központ,54
XIX. kerület Közpark NKft.,78
XV. Kerületi Rendőrkapitányság,3
XV. kerület Palota Holding Zrt.,106
XV. kerület Önkormányzati Rendészet,97
XV. kerület Újpalota Önkormányzata,19
XVI. kerület Közterület-felügyeleti Csoport,24
XVI. kerületi Önkormányzat,118
XVII. kerület Rákosmente Önkormányzata,115
XVIII. kerület Közterület-felügyeleti Csoport,34
XVIII. kerület Pestszentlőrinc-Pestszentimre Önkormányzata,8
XVIII. kerület Pestszentlőrinc-Pestszentimrei Fenntartható Fejlődés Főosztály,6
XVIII. kerület Városgazda NZrt.,62
XX. kerület Pesterzsébet Önkormányzata,231
XX. kerület Rendvédelmi Osztály,75
XX. és XXIII. Kerületi Rendőrkapitányság,3
XXI. kerület Csepel Városrendészeti Igazgatóság,40
XXI. kerület Csepel Önkormányzata,4
XXI. kerület Csepeli Városfejlesztési NKft.,4
XXI. kerület Csepeli Városgazda NZrt.,76
XXII. kerület Budafok-Tétény Önkormányzata,63
XXII. kerület Közterület-felügyeleti Csoport,42
XXIII. kerület Soroksár Rendészeti Osztály,28
XXIII. kerület Soroksár Önkormányzata,30
dm Drogerie Markt,1
Árkád Budapest,3
Építésügyi és Közlekedési Minisztérium,2
Észak-Budapesti Tankerületi Központ,3
Újbuda Center,1
