ClusterID,ClusterCenterLat,ClusterCenterLng,IssueCount,ResolutionRate,AvgResolutionTime,DominantCategory,PrimaryInstitution,DominantDistrict,ClusterSize,ClusterType
82,47.583,19.046,145,0.393,82.246,Forgalomtechnika,III. kerület ÓBKF Óbuda-Békásmegyer Közterület-felügyelet,III. kerület,145,Major Hotspot
83,47.486,19.193,65,0.538,93.286,Parkok és zöldterületek,X. kerület Kőbánya Önkormányzata,X. kerület,65,Major Hotspot
84,47.561,19.109,311,0.502,63.968,Parkok és zöldterületek,IV. kerület Újpest Önkormányzata,IV. kerület,311,Major Hotspot
85,47.556,19.026,161,0.429,70.377,Elhagyott jármű,III. kerület ÓBKF Óbuda-Békásmegyer Közterület-felügyelet,III. kerület,161,Major Hotspot
86,47.469,19.075,341,0.501,62.076,Köztisztaság,Budapest Közút,IX. kerület,341,Major Hotspot
87,47.438,19.001,55,0.491,53.074,Kátyú,Budapest Közút,XXII. kerület,55,Major Hotspot
88,47.478,19.257,95,0.674,46.156,Parkok és zöldterületek,XVII. kerület Rákosmente Önkormányzata,XVII. kerület,95,Major Hotspot
89,47.395,18.978,50,0.46,69.261,Forgalomtechnika,XXII. kerület Budafok-Tétény Önkormányzata,XXII. kerület,50,Major Hotspot
90,47.514,19.176,167,0.461,55.468,Parkok és zöldterületek,XVI. kerületi Önkormányzat,XVI. kerület,167,Major Hotspot
91,47.498,19.054,669,0.492,74.796,Forgalomtechnika,Budapest Közút,V. kerület,669,Major Hotspot
92,47.521,19.059,551,0.541,57.47,Forgalomtechnika,XIII. kerület Önkormányzata,XIII. kerület,551,Major Hotspot
93,47.518,18.998,374,0.545,53.426,Köztisztaság,II. kerület Önkormányzata,II. kerület,374,Major Hotspot
94,47.6,19.063,757,0.517,56.304,Parkok és zöldterületek,III. kerület ÓBKF Óbuda-Békásmegyer Közterület-felügyelet,III. kerület,757,Major Hotspot
95,47.485,19.093,244,0.578,68.305,Forgalomtechnika,Budapest Közút,VIII. kerület,244,Major Hotspot
96,47.486,19.156,241,0.643,56.51,Köztisztaság,X. kerület Kőbánya Önkormányzata,X. kerület,241,Major Hotspot
97,47.447,19.102,259,0.598,105.916,Köztisztaság,XX. kerület Pesterzsébet Önkormányzata,XX. kerület,259,Major Hotspot
98,47.483,19.236,222,0.554,58.732,Parkok és zöldterületek,XVII. kerület Rákosmente Önkormányzata,XVII. kerület,222,Major Hotspot
99,47.482,19.001,186,0.565,55.952,Közművek,XII. kerület Hegyvidék Önkormányzata,XI. kerület,186,Major Hotspot
