InstitutionName,TotalIssuesAssigned,ResolutionRate,EfficiencyScore,PerformanceRanking,WorkloadCategory,AvgDaysToResolution,ServiceCenterLatitude,ServiceCenterLongitude,DistrictsServed,ServiceAreaCoverage,AvgUrgencyScore
II. kerület Közterület-felügyeleti Csoport,47,0.404,22.5,74,Medium,28.158,47.526,18.998,2,1.0,2.34
II. kerület Önkormányzata,245,0.249,12.8,98,High,30.902,47.527,19.0,2,1.0,1.837
II. kerĂĽlet Ă–nkormĂˇnyzata,1,0.0,0.0,132,Low,,47.529,19.003,1,1.0,0.0
III. Kerületi Rendőrkapitányság,2,0.0,0.0,132,Low,,47.573,19.048,1,1.0,0.0
III. kerület Békásmegyeri Piac Kft.,5,0.6,48.0,32,Low,12.0,47.598,19.057,1,1.0,0.0
III. kerület OVZRT Óbudai Vagyonkezelő NZrt.,56,0.054,2.9,118,Medium,52.0,47.575,19.049,1,1.0,1.071
III. kerület ÓBKF Óbuda-Békásmegyer Közterület-felügyelet,441,0.218,11.3,104,High,42.885,47.574,19.049,2,1.0,1.791
III. kerület Óbuda-Békásmegyer Városfejlesztő NKft.,5,0.0,0.4,131,Low,,47.585,19.054,1,1.0,2.0
III. kerület Óbuda-Békásmegyer Önkormányzata,4,0.0,0.0,132,Low,,47.546,19.04,1,1.0,0.0
III. kerület Óbudai Parkolási Nonprofit Kft.,1,0.0,0.0,132,Low,,47.602,19.06,1,1.0,0.0
III. kerĂźlet OVZRT Ăbudai VagyonkezelĹ NZrt.,1,0.0,0.0,132,Low,,47.53,19.04,1,1.0,0.0
III. kerĂźlet ĂBKF Ăbuda-BĂŠkĂĄsmegyer KĂśzterĂźlet-felĂźgyelet,1,0.0,0.0,132,Low,,47.559,19.053,1,1.0,0.0
IV. kerület Újpest Önkormányzata,102,0.382,29.0,62,High,20.282,47.568,19.095,2,1.0,0.784
IV. kerület Újpesti Önkormányzati Rendészet,23,0.565,28.3,63,Low,32.308,47.566,19.094,1,1.0,0.435
IV. kerГјlet Гљjpest Г–nkormГЎnyzata,1,0.0,0.0,132,Low,,47.611,19.108,1,1.0,0.0
IX. kerÃžlet - FESZOFE Nonprofit Kft.,2,0.0,0.0,132,Low,,47.46,19.084,1,1.0,0.0
IX. kerület - FESZOFE Nonprofit Kft.,26,0.577,46.4,33,Low,12.4,47.474,19.082,1,1.0,0.0
IX. kerület - FEV IX Zrt. Ferencvárosi Parkolási Igazgatóság,1,1.0,76.0,2,Low,4.0,47.485,19.073,1,1.0,0.0
IX. kerület Ferencváros Önkormányzata,74,0.122,6.5,113,Medium,42.111,47.475,19.083,1,1.0,1.892
IX. kerület Ferencvárosi Közterület-felügyelet,23,0.609,32.0,56,Low,28.5,47.472,19.088,1,1.0,0.0
IX. kerĂĽlet FerencvĂˇros Ă–nkormĂˇnyzata,1,0.0,0.0,132,Low,,47.477,19.082,1,1.0,0.0
Invitech,12,0.333,36.2,46,Low,10.75,47.493,19.066,6,1.0,1.667
JCDecaux,89,0.742,52.2,20,Medium,15.015,47.5,19.096,21,1.0,0.787
