InstitutionName,ServiceCenterLatitude,ServiceCenterLongitude,ServiceAreaMinLatitude,ServiceAreaMaxLatitude,ServiceAreaMinLongitude,ServiceAreaMaxLongitude,ServiceAreaKmSquared,DistrictsServed,DistrictsServedList,TotalRecords,InstitutionType,IsDistrictLevel,IsCityWide,IsUtilityCompany
VIII. kerület Józsefvárosi Közterület-felügyelet,47.490519,19.08236,47.484558,47.499554,19.068097,19.108754,7.38,1,VIII. kerület,22,Local Government,1,0,0
VIII. kerület Józsefvárosi Önkormányzat,47.491113,19.08581,47.489371,47.492856,19.080617,19.091003,0.44,1,VIII. kerület,2,Local Government,1,0,0
Volánbusz (MÁV-csoport),47.491264,19.061056,47.474695,47.507834,19.023489,19.098624,30.13,2,"IX. kerület, II. kerület",2,Other Municipal,0,0,0
Volأ،nbusz (MأپV-csoport),47.467558,19.016784,47.467558,47.467558,19.016784,19.016784,0.0,1,Unknown,1,Other Municipal,0,0,0
Várkapitányság,47.497667,19.0393,47.49731,47.498212,19.039183,19.039463,0.0,1,I. kerület,3,Other Municipal,0,0,0
Városliget Zrt.,47.512679,19.086454,47.508011,47.518862,19.08056,19.090866,1.35,1,XIV. kerület,41,Other Municipal,0,0,1
X. kerÃžlet KÅbÃĄnya ÃnkormÃĄnyzata,47.489503,19.131452,47.489503,47.489503,19.131452,19.131452,0.0,1,Unknown,1,Other Municipal,0,0,0
X. kerület Kőbánya Önkormányzata,47.479487,19.152406,47.464006,47.502335,19.109943,19.2019,42.65,2,"X. kerület, XVII. kerület",116,Local Government,1,0,0
X. kerület Kőbányai Közterület-felügyelet,47.4799,19.143864,47.466302,47.503579,19.108691,19.183901,33.92,2,"X. kerület, XVI. kerület",37,Local Government,1,0,0
XI. Kerületi Rendőrkapitányság,47.472468,19.01341,47.472468,47.472468,19.01341,19.01341,0.0,1,XI. kerület,1,Law Enforcement,1,0,0
XI. kerÃžlet Ãjbuda ÃnkormÃĄnyzata,47.462887,19.032019,47.462887,47.462887,19.032019,19.032019,0.0,1,Unknown,1,Other Municipal,0,0,0
XI. kerület Újbuda Közterület-felügyelet,47.463167,19.028774,47.439189,47.483864,18.979812,19.058698,42.64,1,XI. kerület,100,Local Government,1,0,0
XI. kerület Újbuda Parkolásüzemeltető Nonprofit Kft.,47.473849,19.042768,47.464018,47.483144,19.034032,19.053804,4.58,1,XI. kerület,5,Parks & Environment,1,0,1
XI. kerület Újbuda Önkormányzata,47.46772,19.029323,47.431859,47.486666,18.98878,19.0626,48.95,1,XI. kerület,190,Local Government,1,0,0
XI. kerรผlet รjbuda Parkolรกsรผzemeltetล Nonprofit Kft.,47.478252,19.044042,47.478252,47.478252,19.044042,19.044042,0.0,1,Unknown,1,Parks & Environment,0,0,1
XII. Kerületi Rendőrkapitányság,47.50111,18.989393,47.499264,47.504421,18.976819,19.008434,1.97,1,XII. kerület,3,Law Enforcement,1,0,0
XII. kerÃžlet HegyvidÃĐk ÃnkormÃĄnyzata,47.500946,19.005741,47.499261,47.50263,19.002413,19.00907,0.27,1,Unknown,2,Other Municipal,0,0,0
XII. kerület Hegyvidék Önkormányzata,47.497698,19.001067,47.477663,47.521372,18.952666,19.030086,40.95,2,"XII. kerület, XI. kerület",168,Local Government,1,0,0
XII. kerületi Hegyvidéki Rendészet,47.500274,19.009569,47.48397,47.518789,18.977526,19.028421,21.44,2,"XII. kerület, I. kerület",60,Law Enforcement,1,0,0
XIII. kerÃžlet ÃnkormÃĄnyzata,47.526099,19.062713,47.51382,47.538378,19.056236,19.06919,3.85,1,Unknown,2,Other Municipal,0,0,0
XIII. kerület Közterület-felügyelet,47.528649,19.068761,47.511546,47.550519,19.048351,19.096565,22.74,1,XIII. kerület,36,Local Government,1,0,0
XIII. kerület Önkormányzata,47.531502,19.070623,47.455878,47.568324,19.046633,19.178751,179.76,3,"XIII. kerület, XVIII. kerület, IV. kerület",197,Local Government,1,0,0
XIV. Kerületi Rendőrkapitányság,47.510993,19.122072,47.510993,47.510993,19.122072,19.122072,0.0,1,XIV. kerület,1,Law Enforcement,1,0,0
XIV. kerÃžlet ZuglÃģ ÃnkormÃĄnyzata,47.507293,19.106502,47.507293,47.507293,19.106502,19.106502,0.0,1,Unknown,1,Other Municipal,0,0,0
XIV. kerÃžlet ZuglÃģi VÃĄrosgazdÃĄlkodÃĄsi KÃķzszolgÃĄltatÃģ Zrt.,47.521437,19.122396,47.516731,47.527396,19.114991,19.13278,2.3,1,Unknown,4,Other Municipal,0,0,1
XIV. kerÃžlet ZuglÃģi ÃnkormÃĄnyzati RendÃĐszet,47.512654,19.146736,47.512654,47.512654,19.146736,19.146736,0.0,1,Unknown,1,Other Municipal,0,0,0
XIV. kerület Zugló Önkormányzata,47.51492,19.11716,47.499869,47.536284,19.090898,19.151039,26.5,1,XIV. kerület,27,Local Government,1,0,0
XIV. kerület Zuglói Közbiztonsági NKft.,47.503954,19.135327,47.503954,47.503954,19.135327,19.135327,0.0,1,XIV. kerület,1,Local Government,1,0,1
XIV. kerület Zuglói Városgazdálkodási Közszolgáltató Zrt.,47.515633,19.120113,47.499888,47.542822,19.075382,19.24277,86.96,4,"XIV. kerület, XIII. kerület, XV. kerület, XVI. kerület",386,Local Government,1,0,1
XIV. kerület Zuglói Önkormányzati Rendészet,47.517768,19.116167,47.500687,47.536936,19.09065,19.152762,27.24,1,XIV. kerület,99,Law Enforcement,1,0,0
XIV. kerĂĽlet ZuglĂłi VĂˇrosgazdĂˇlkodĂˇsi KĂ¶zszolgĂˇltatĂł Zrt.,47.516654,19.099719,47.516654,47.516654,19.099719,19.099719,0.0,1,Unknown,1,Other Municipal,0,0,1
XIX. kerület Kispest Önkormányzata,47.451477,19.140952,47.450989,47.451964,19.127813,19.154092,0.31,1,XIX. kerület,2,Local Government,1,0,0
XIX. kerület Kispesti Rendészeti Központ,47.453462,19.139043,47.437363,47.461634,19.121071,19.158589,11.02,1,XIX. kerület,28,Law Enforcement,1,0,0
XIX. kerület Közpark NKft.,47.453298,19.144593,47.435414,47.462451,19.125481,19.159211,11.03,1,XIX. kerület,41,Parks & Environment,1,0,1
XV. KerÃžleti RendÅrkapitÃĄnysÃĄg,47.539798,19.144627,47.539798,47.539798,19.144627,19.144627,0.0,1,Unknown,1,Other Municipal,0,0,0
XV. Kerületi Rendőrkapitányság,47.542051,19.135479,47.542051,47.542051,19.135479,19.135479,0.0,1,XV. kerület,1,Law Enforcement,1,0,0
XV. kerület Palota Holding Zrt.,47.549603,19.129254,47.533678,47.582114,19.106857,19.151294,26.04,1,XV. kerület,44,Local Government,1,0,1
XV. kerület Önkormányzati Rendészet,47.544956,19.134065,47.533794,47.584471,19.111171,19.147995,22.58,1,XV. kerület,62,Law Enforcement,1,0,0
XV. kerület Újpalota Önkormányzata,47.551388,19.130403,47.539906,47.589,19.1151,19.146366,18.57,1,XV. kerület,8,Local Government,1,0,0
XVI. kerület Közterület-felügyeleti Csoport,47.51836,19.179059,47.504891,47.531224,19.151521,19.231968,25.63,2,"XVI. kerület, V. kerület",14,Local Government,1,0,0
XVI. kerületi Önkormányzat,47.516281,19.182394,47.498779,47.533278,19.146996,19.234605,36.57,1,XVI. kerület,63,Local Government,1,0,0
XVII. kerület Rákosmente Önkormányzata,47.478046,19.253252,47.450305,47.499084,19.220158,19.301632,48.09,1,XVII. kerület,74,Local Government,1,0,0
XVIII. kerület Közterület-felügyeleti Csoport,47.433486,19.184944,47.399161,47.450426,19.160515,19.22573,40.45,1,XVIII. kerület,19,Local Government,1,0,0
XVIII. kerület Pestszentlőrinc-Pestszentimre Önkormányzata,47.422955,19.195978,47.403763,47.444392,19.176227,19.222474,22.74,1,XVIII. kerület,4,Local Government,1,0,0
XVIII. kerület Pestszentlőrinc-Pestszentimrei Fenntartható Fejlődés Főosztály,47.399538,19.183282,47.398259,47.400817,19.181461,19.185103,0.11,1,XVIII. kerület,2,Local Government,1,0,0
XVIII. kerület Városgazda NZrt.,47.435887,19.183562,47.391673,47.461608,19.165797,19.222555,48.03,1,XVIII. kerület,32,Local Government,1,0,1
XVIII. kerรผlet Vรกrosgazda NZrt.,47.438402,19.193673,47.438402,47.438402,19.193673,19.193673,0.0,1,Unknown,1,Other Municipal,0,0,1
XX. kerület Pesterzsébet Önkormányzata,47.437588,19.111302,47.42126,47.452206,19.08943,19.158727,25.95,2,"XX. kerület, Unknown",169,Local Government,1,0,0
XX. kerület Rendvédelmi Osztály,47.435424,19.111461,47.421736,47.451805,19.093878,19.128178,12.48,2,"XX. kerület, IX. kerület",55,Local Government,1,0,0
XX. kerรผlet Rendvรฉdelmi Osztรกly,47.431439,19.093832,47.431439,47.431439,19.093832,19.093832,0.0,1,Unknown,1,Other Municipal,0,0,0
XX. és XXIII. Kerületi Rendőrkapitányság,47.434223,19.123486,47.423266,47.44518,19.114636,19.132337,4.69,2,"XXIII. kerület, XX. kerület",2,Law Enforcement,1,0,0
XXI. kerület Csepel Városrendészeti Igazgatóság,47.421202,19.076717,47.397423,47.435869,19.051909,19.105994,25.16,1,XXI. kerület,28,Law Enforcement,1,0,0
XXI. kerület Csepel Önkormányzata,47.408388,19.057329,47.398442,47.418333,19.049501,19.065157,3.77,1,XXI. kerület,2,Local Government,1,0,0
XXI. kerület Csepeli Városfejlesztési NKft.,47.432839,19.07724,47.432609,47.433069,19.075809,19.078671,0.02,1,XXI. kerület,2,Local Government,1,0,1
XXI. kerület Csepeli Városgazda NZrt.,47.421384,19.075797,47.387638,47.458702,19.058197,19.106976,41.94,1,XXI. kerület,61,Local Government,1,0,1
XXII. kerÃžlet KÃķzterÃžlet-felÃžgyeleti Csoport,47.396508,18.997496,47.396508,47.396508,18.997496,18.997496,0.0,1,Unknown,1,Other Municipal,0,0,0
XXII. kerület Budafok-Tétény Önkormányzata,47.416919,19.016715,47.388793,47.441805,18.957688,19.040468,53.1,1,XXII. kerület,28,Local Government,1,0,0
XXII. kerület Közterület-felügyeleti Csoport,47.41313,19.009196,47.39298,47.437259,18.987922,19.037517,26.57,1,XXII. kerület,21,Local Government,1,0,0
XXIII. kerület Soroksár Rendészeti Osztály,47.407271,19.121414,47.396136,47.421368,19.111917,19.138695,8.18,1,XXIII. kerület,19,Law Enforcement,1,0,0
XXIII. kerület Soroksár Önkormányzata,47.408298,19.127102,47.385278,47.423567,19.096358,19.173537,35.76,1,XXIII. kerület,11,Local Government,1,0,0
Árkád Budapest,47.502869,19.136956,47.502869,47.502869,19.136956,19.136956,0.0,1,X. kerület,1,Other Municipal,0,1,0
Építésügyi és Közlekedési Minisztérium,47.492207,19.063613,47.492207,47.492207,19.063613,19.063613,0.0,1,VIII. kerület,1,Public Transport,0,0,0
Észak-Budapesti Tankerületi Központ,47.542967,19.044844,47.542967,47.542967,19.044844,19.044844,0.0,1,III. kerület,1,Local Government,1,1,0
