InstitutionName,ServiceCenterLatitude,ServiceCenterLongitude,ServiceAreaMinLatitude,ServiceAreaMaxLatitude,ServiceAreaMinLongitude,ServiceAreaMaxLongitude,ServiceAreaKmSquared,DistrictsServed,DistrictsServedList,TotalRecords,InstitutionType,IsDistrictLevel,IsCityWide,IsUtilityCompany
Duna Plaza,47.55086,19.072315,47.55086,47.55086,19.072315,19.072315,0.0,1,XIII. kerület,1,Other Municipal,0,0,0
E.ON,47.503272,19.080706,47.428083,47.602929,18.948068,19.186724,504.91,18,"III. kerület, XIV. kerület, XIII. kerület, VI. kerület, XVI. kerület",84,Other Municipal,0,0,0
ERSTE BANK Hungary Zrt.,47.537036,19.059378,47.537036,47.537036,19.059378,19.059378,0.0,1,XIII. kerület,1,Other Municipal,0,0,1
ESMA Reklám Zrt.,47.479367,19.090268,47.479367,47.479367,19.090268,19.090268,0.0,1,VIII. kerület,1,Other Municipal,0,0,1
EgyÃĐb illetÃĐkes,47.465116,19.017557,47.465116,47.465116,19.017557,19.017557,0.0,1,Unknown,1,Other Municipal,0,0,0
Egyéb illetékes,47.504032,19.079375,47.409564,47.603404,18.971669,19.225626,595.65,19,"XX. kerület, XIII. kerület, V. kerület, XI. kerület, XXIII. kerület",63,Other Municipal,0,0,0
EgyĂŠb illetĂŠkes,47.4714,19.058228,47.4714,47.4714,19.058228,19.058228,0.0,1,Unknown,1,Other Municipal,0,0,0
Erkel Színház,47.497379,19.076666,47.497379,47.497379,19.076666,19.076666,0.0,1,VIII. kerület,1,Other Municipal,0,0,0
FCSM FÅvÃĄrosi CsatornÃĄzÃĄsi MÅąvek,47.594297,19.066891,47.594297,47.594297,19.066891,19.066891,0.0,1,Unknown,1,Other Municipal,0,0,0
FCSM Fővárosi Csatornázási Művek,47.494714,19.083269,47.389592,47.605024,18.962882,19.220649,671.93,21,"III. kerület, VIII. kerület, XIV. kerület, XXI. kerület, Unknown",147,Other Municipal,0,1,0
Fidesz - Magyar Polgári Szövetség,47.59591,19.051569,47.59591,47.59591,19.051569,19.051569,0.0,1,III. kerület,1,Other Municipal,0,0,0
FÖRI Fővárosi Önkormányzati Rendészet,47.48837,19.080101,47.418628,47.531288,19.017773,19.177585,217.85,10,"IX. kerület, XXII. kerület, X. kerület, II. kerület, VIII. kerület",23,Law Enforcement,0,1,0
Fővárosi Katasztrófavédelmi Igazgatóság,47.537152,19.062522,47.509822,47.559018,18.959322,19.191303,138.09,3,"XVI. kerület, III. kerület, II. kerület",3,Other Municipal,0,1,0
